<TICKER>,<PER>,<DATE>,<TIME>,<LAST>,<VOL>
GAZP,0,20230310,100000,160.110000000,320
GAZP,0,20230310,100000,160.130000000,100
GAZP,0,20230310,100000,160.130000000,150
GAZP,0,20230310,100000,160.120000000,1770
GAZP,0,20230310,100000,160.110000000,700
GAZP,0,20230310,100000,160.110000000,10
GAZP,0,20230310,100000,160.110000000,100
GAZP,0,20230310,100000,160.100000000,10
GAZP,0,20230310,100000,160.100000000,10
GAZP,0,20230310,100000,160.100000000,10
GAZP,0,20230310,100000,160.100000000,100
GAZP,0,20230310,100000,160.100000000,10
GAZP,0,20230310,100000,160.100000000,10
GAZP,0,20230310,100000,160.100000000,10
GAZP,0,20230310,100000,160.100000000,110
GAZP,0,20230310,100000,160.100000000,350
GAZP,0,20230310,100000,160.100000000,90
GAZP,0,20230310,100000,160.100000000,50
GAZP,0,20230310,100000,160.100000000,10
GAZP,0,20230310,100000,160.100000000,100
GAZP,0,20230310,100000,160.100000000,50
GAZP,0,20230310,100000,160.110000000,10
GAZP,0,20230310,100000,160.100000000,10
GAZP,0,20230310,100000,160.100000000,40
GAZP,0,20230310,100000,160.100000000,250
GAZP,0,20230310,100000,160.100000000,30
GAZP,0,20230310,100000,160.100000000,290
GAZP,0,20230310,100000,160.110000000,30
GAZP,0,20230310,100000,160.100000000,400
GAZP,0,20230310,100000,160.100000000,30
GAZP,0,20230310,100000,160.100000000,10
GAZP,0,20230310,100000,160.100000000,10
GAZP,0,20230310,100000,160.100000000,90
GAZP,0,20230310,100000,160.100000000,30
GAZP,0,20230310,100000,160.100000000,70
